daily_screen_time,app_sessions,social_media_usage,gaming_time,notifications,night_usage,age,work_study_hours,stress_level,apps_installed,addicted
6,41,1,3,59,1,23,8,5,33,0
4,30,1,1,57,2,34,11,2,28,1
2,40,1,4,76,1,38,6,4,28,0
5,34,3,2,68,0,35,9,4,30,0
6,31,3,3,63,1,18,6,7,29,0
3,24,2,0,41,0,31,9,3,20,1
3,38,0,3,88,0,35,6,6,35,0
7,37,3,1,63,1,43,7,3,22,0
5,23,1,0,50,1,38,5,4,18,1
6,30,1,1,79,3,28,6,7,33,0
7,40,2,1,68,1,20,6,7,35,0
3,24,0,0,54,0,48,9,0,26,1
5,27,3,1,50,0,49,4,1,24,1
2,37,3,2,90,2,38,6,6,39,0
1,19,2,1,63,0,27,8,2,31,1
1,28,2,1,40,1,20,6,2,36,1
9,41,2,1,83,0,31,7,4,32,0
2,27,0,1,55,0,35,6,2,27,1
6,24,1,3,74,0,43,7,5,36,0
6,37,1,1,67,2,19,5,6,25,0
8,31,3,0,66,0,39,3,4,21,0
6,32,3,2,64,2,23,4,3,32,0
2,32,1,1,65,2,38,6,8,31,0
4,46,1,2,81,2,35,7,8,21,0
4,50,0,1,70,2,28,4,5,28,0
4,18,0,1,38,1,50,5,6,32,1
1,26,2,0,41,1,27,6,4,27,1
3,27,1,3,47,0,54,8,6,25,1
4,25,2,1,41,0,20,8,3,37,1
1,22,0,0,41,1,37,9,1,23,1
5,28,3,3,77,1,15,6,5,29,0
6,36,2,1,61,4,27,6,3,35,0
1,24,1,1,42,2,48,5,3,28,1
4,37,3,3,77,1,36,6,7,25,0
1,24,0,0,60,0,54,3,6,21,1
6,25,1,0,56,2,20,7,3,27,1
4,42,0,4,69,3,33,7,7,24,0
5,42,2,2,62,0,35,6,8,31,0
3,25,0,2,56,0,35,6,2,25,1
3,30,2,1,67,1,17,7,7,31,0
4,38,1,0,75,2,40,7,5,29,0
3,29,1,0,57,0,52,9,0,27,1
4,31,0,2,43,1,21,5,1,34,1
3,20,0,1,50,0,20,9,0,22,1
4,37,2,0,45,0,47,4,0,28,1
5,23,2,2,74,0,38,4,8,32,0
1,24,2,2,47,2,53,9,6,21,1
5,33,3,3,53,3,42,6,5,35,0
3,32,2,1,53,1,22,7,0,16,1
4,26,6,1,63,1,38,7,7,32,0
2,26,0,1,52,2,27,7,5,22,1
5,38,4,2,59,3,39,5,8,34,0
5,23,1,0,53,1,31,5,3,24,1
3,32,2,2,73,2,19,6,5,31,0
5,26,3,0,55,1,29,6,7,37,0
3,22,0,0,40,0,32,6,5,33,1
3,41,3,3,73,1,38,9,8,21,0
3,25,1,0,40,1,37,9,2,32,1
2,33,0,0,42,1,39,10,4,27,1
6,26,5,0,89,1,38,9,8,21,0
2,33,1,0,49,0,34,3,0,26,1
5,42,0,0,62,2,31,7,7,27,0
3,33,2,3,60,0,31,4,1,14,1
5,21,1,1,38,1,31,8,2,22,1
7,33,3,2,81,2,41,6,6,29,0
6,28,0,0,49,1,44,8,6,30,1
2,28,2,2,48,0,23,11,0,24,1
3,34,3,0,88,0,17,6,5,28,0
5,28,0,2,41,0,43,8,3,17,1
3,23,0,1,61,0,42,7,4,25,1
3,19,0,1,51,1,42,3,5,20,1
4,38,3,3,61,1,44,8,3,33,0
8,29,3,1,71,1,40,7,6,29,0
5,40,1,3,60,1,20,6,5,30,0
4,35,4,1,79,2,18,5,4,19,0
4,25,2,1,53,0,40,6,4,31,1
7,32,2,1,75,1,37,4,6,28,0
4,26,2,0,59,0,21,3,1,28,1
2,24,0,0,45,0,32,3,0,29,1
6,25,2,0,36,1,43,5,5,25,1
2,23,1,0,48,1,48,6,2,24,1
4,38,2,2,64,2,29,4,5,29,0
5,26,3,3,80,1,28,6,7,24,0
2,36,1,0,56,1,47,6,0,25,1
2,33,0,1,73,2,37,9,8,40,0
4,23,1,0,45,0,29,7,5,21,1
4,33,0,0,68,0,43,8,6,27,0
3,56,2,0,64,2,40,4,6,32,0
6,40,0,0,65,0,22,7,7,34,0
6,31,4,3,71,2,20,3,4,38,0
6,34,0,1,56,0,37,7,5,26,1
5,34,2,0,67,2,23,6,6,30,0
3,16,1,2,55,2,49,6,0,25,1
7,35,3,0,66,2,22,4,5,32,0
4,37,0,2,52,0,36,7,1,25,1
2,33,1,0,32,1,36,7,0,36,1
2,26,3,0,40,0,42,5,1,33,1
1,21,1,0,46,1,43,9,1,31,1
4,33,5,3,54,2,21,7,8,38,0
7,42,4,0,75,0,29,5,7,27,0
3,33,1,2,71,3,23,2,3,42,0
4,27,1,3,54,0,36,10,2,30,1
6,40,3,1,62,1,26,7,7,42,0
4,23,0,0,52,0,23,7,5,15,1
6,25,1,1,54,1,27,5,6,27,1
5,31,1,3,66,1,28,4,4,27,0
5,28,1,1,54,0,48,8,3,21,1
4,26,3,1,61,2,32,5,6,32,0
1,21,1,0,52,0,38,6,2,17,1
5,28,0,1,52,0,20,6,5,35,1
2,37,3,0,67,2,25,7,6,35,0
4,34,3,3,74,1,24,4,4,36,0
5,28,4,1,73,2,34,7,7,40,0
5,31,0,1,79,1,43,7,3,28,0
3,28,3,0,64,0,30,8,1,25,1
6,45,1,3,87,1,18,7,4,35,0
5,30,0,2,66,1,37,8,6,26,0
3,32,1,2,67,0,44,9,7,29,0
1,39,2,4,60,1,23,5,6,32,0
2,23,3,1,92,0,44,8,3,32,0
3,30,0,0,51,1,48,7,6,18,1
3,28,1,0,54,1,48,9,3,31,1
4,25,2,1,50,0,38,9,2,25,1
3,29,2,1,54,2,22,6,5,28,0
3,28,2,1,50,1,33,9,0,27,1
6,41,3,2,73,1,21,3,9,34,0
6,36,1,0,75,0,27,6,6,35,0
5,33,2,1,63,3,28,8,7,28,0
6,34,3,2,80,1,15,7,6,25,0
6,32,0,1,63,1,20,7,7,25,0
2,32,1,0,38,2,51,6,6,31,1
3,24,2,1,55,0,44,6,2,34,1
1,27,1,1,59,0,51,8,1,32,1
6,29,2,2,74,2,32,7,3,24,0
6,37,2,0,68,3,41,7,8,38,0
4,26,0,0,38,0,34,8,4,24,1
6,34,1,1,87,1,27,5,4,26,0
7,27,0,1,74,2,38,6,3,28,0
3,29,3,0,81,1,37,3,5,31,0
5,22,1,1,54,1,53,10,1,28,1
3,20,1,1,49,2,25,8,0,31,1
3,24,2,2,49,2,23,6,5,26,1
6,41,3,0,72,1,20,7,8,26,0
4,30,0,1,81,1,35,7,4,35,0
4,21,0,1,46,0,32,7,6,28,1
8,32,0,1,70,0,24,7,7,19,0
3,29,2,0,54,2,52,7,1,28,1
3,22,2,0,45,0,42,8,3,25,1
5,32,1,2,76,1,41,6,7,26,0
4,47,2,1,64,1,37,4,4,25,0
1,38,3,3,82,0,16,9,4,28,0
7,34,2,1,42,1,34,7,0,23,1
6,23,1,1,58,1,28,7,0,35,1
2,26,2,2,51,2,45,8,3,21,1
5,35,2,3,63,2,37,3,4,30,0
2,42,1,1,61,2,28,6,3,27,0
8,38,2,2,69,2,31,6,2,34,0
5,41,0,2,63,3,40,6,8,29,0
5,26,4,0,74,0,41,5,6,39,0
1,36,2,3,73,2,24,6,7,30,0
3,32,0,0,56,1,51,5,1,21,1
5,40,3,0,63,2,36,5,4,29,0
5,25,0,1,46,0,42,2,5,29,1
7,44,1,0,72,1,16,7,8,49,0
4,31,2,0,77,2,42,4,8,30,0
5,30,1,2,52,0,44,6,2,25,0
1,17,1,0,46,1,48,3,1,25,1
4,42,1,2,64,1,36,6,8,33,0
5,31,3,2,78,0,19,6,7,32,0
2,38,3,1,69,3,35,9,2,30,0
2,35,1,1,55,0,26,5,1,25,1
4,22,1,2,54,2,49,3,4,24,1
2,27,1,0,57,0,44,9,0,34,1
5,35,2,2,70,3,38,5,7,31,0
7,32,1,0,75,3,19,5,3,27,0
4,31,2,4,65,3,28,4,7,23,0
2,20,0,0,49,0,20,10,5,26,1
2,28,2,1,54,0,46,10,5,29,1
2,27,0,0,69,0,45,4,0,17,1
2,15,1,0,50,1,47,3,0,29,1
3,29,1,1,48,0,30,8,4,18,1
7,34,3,0,76,0,32,5,7,27,0
2,28,5,2,81,2,32,4,5,20,0
4,42,3,1,74,1,29,5,7,25,0
7,38,1,2,86,1,22,3,8,30,0
5,35,3,0,59,2,34,5,5,28,0
3,31,1,0,45,0,40,8,6,21,1
1,27,1,1,50,1,34,8,4,24,1
1,32,2,0,51,0,26,6,7,29,1
9,42,2,0,60,1,28,7,3,18,0
2,36,2,3,76,0,39,4,6,24,0
3,31,2,2,74,0,21,5,8,34,0
2,24,1,0,45,2,39,4,3,15,1
3,37,4,2,73,1,27,3,6,33,0
1,26,1,0,51,1,26,6,1,22,1
4,27,2,0,49,1,22,3,5,17,1
4,47,2,1,73,3,44,2,3,25,0
5,32,1,3,64,3,24,4,7,35,0
1,26,2,0,37,1,37,4,5,27,1
6,45,3,5,74,0,27,5,6,18,0
2,19,1,1,47,1,42,4,6,34,1
2,14,0,0,53,1,21,6,5,22,1
4,30,2,0,51,2,26,8,0,32,1
4,37,5,0,70,2,19,5,7,26,0
5,38,1,3,74,3,22,4,8,22,0
6,31,2,0,50,0,52,6,2,27,1
9,46,3,1,74,1,32,7,5,33,0
7,40,4,1,68,2,36,1,7,14,0
3,27,1,1,55,0,36,6,2,23,1
6,46,1,2,81,1,24,11,2,21,0
5,27,4,0,85,1,37,4,5,28,0
3,31,3,0,64,2,31,4,7,33,0
3,29,1,2,60,2,41,8,7,24,1
4,35,0,2,48,0,48,4,5,30,1
4,30,2,2,43,1,23,5,5,26,1
2,24,1,0,54,3,25,6,0,24,1
4,31,1,1,59,0,48,11,1,29,1
6,16,1,1,46,0,54,8,3,17,1
6,27,1,2,51,0,21,7,6,17,1
2,16,0,0,47,0,42,6,0,21,1
3,36,3,1,62,1,38,6,5,31,0
6,27,0,4,72,1,28,5,7,37,0
1,34,2,3,71,0,16,7,6,35,0
4,26,1,0,55,0,44,10,2,26,1
3,37,2,3,63,1,16,8,6,30,0
3,44,0,0,69,2,42,3,3,33,0
4,39,2,2,74,0,26,4,7,30,0
3,41,1,0,80,1,42,8,4,23,0
7,26,1,1,53,4,16,8,7,32,0
3,40,2,0,73,4,25,4,6,29,0
6,32,1,2,77,1,44,2,8,27,0
5,39,5,3,63,1,40,5,6,36,0
4,23,0,1,47,1,26,9,1,17,1
4,34,0,2,66,1,33,4,3,37,0
6,39,2,1,61,1,17,5,3,31,0
3,31,2,2,70,3,17,3,6,29,0
5,40,1,2,84,3,35,7,7,33,0
3,27,3,0,69,2,27,5,5,24,0
5,33,3,0,68,0,41,6,8,24,0
3,28,2,1,46,2,34,5,4,23,1
7,41,3,1,89,3,37,7,6,32,0
1,22,1,1,46,0,45,9,0,23,1
3,35,5,2,70,2,42,7,7,37,0
1,31,3,2,69,2,36,6,7,27,0
4,22,1,1,56,0,26,9,6,20,1
4,30,2,3,72,2,24,5,6,36,0
8,30,4,1,70,0,30,7,5,31,0
3,19,0,0,34,1,40,1,3,19,1
7,44,0,1,69,2,32,6,9,32,0
4,26,0,1,66,1,44,7,5,24,0
4,26,2,1,43,0,29,7,2,31,1
9,43,4,1,72,1,19,5,5,28,0
4,37,0,2,65,2,16,9,6,25,0
3,23,1,0,46,0,49,1,3,28,1
4,33,0,1,65,3,36,4,7,31,0
1,29,2,0,41,0,24,9,0,23,1
3,30,0,0,35,1,32,3,1,31,1
2,31,3,0,44,1,52,7,0,28,1
6,18,2,1,46,2,51,7,1,25,1
3,30,0,0,57,1,49,5,4,30,1
5,37,2,0,71,1,30,6,4,37,0
2,24,3,0,45,0,24,3,6,24,1
2,27,2,1,55,0,50,7,2,27,1
2,21,1,2,43,2,29,5,5,31,1
4,32,3,0,66,1,27,3,4,27,0
5,16,1,0,51,1,44,11,2,23,1
2,22,2,2,52,0,39,6,6,26,1
1,35,0,2,68,1,43,7,7,38,0
4,20,1,2,52,0,37,7,4,27,1
4,20,0,0,52,0,29,6,2,20,1
3,28,1,0,49,1,29,6,3,16,1
5,26,3,2,43,0,49,5,6,22,1
8,27,2,1,58,2,18,4,4,27,0
4,38,4,1,73,2,41,9,4,25,0
4,30,2,0,38,1,50,7,0,25,1
6,45,1,1,75,3,39,4,3,35,0
7,29,2,3,63,1,16,4,7,45,0
5,36,1,3,64,0,17,2,3,23,0
5,46,1,1,76,1,24,8,8,20,0
2,21,2,1,48,1,53,6,1,19,1
3,39,1,0,81,1,29,6,5,29,0
5,40,0,1,65,0,19,3,8,34,0
2,20,0,0,51,0,42,11,3,20,1
4,21,0,0,64,0,44,8,4,24,1
2,25,1,0,50,1,25,8,2,20,1
1,39,1,0,41,0,33,7,1,24,1
2,17,2,0,31,1,22,9,3,30,1
5,22,3,4,74,3,42,7,3,41,0
9,23,1,1,57,1,45,6,5,22,1
3,27,2,1,37,1,33,8,3,24,1
6,35,0,2,65,1,26,5,3,22,0
3,40,4,0,75,2,31,3,7,23,0
1,27,2,2,56,0,41,5,9,30,0
7,18,1,0,42,0,31,8,2,23,1
9,29,2,0,63,1,40,4,4,27,0
6,31,1,2,70,3,26,9,7,33,0
5,31,3,2,57,0,16,9,5,35,0
6,34,0,1,71,2,28,9,3,35,0
3,27,1,1,35,1,41,5,1,22,1
8,27,2,0,52,0,26,6,5,22,1
4,24,2,2,64,2,28,8,4,35,0
4,32,1,2,66,2,38,4,6,36,0
4,28,2,0,61,0,39,4,2,26,1
5,19,0,1,48,1,42,6,3,32,1
3,26,1,0,43,0,38,7,2,32,1
4,37,1,4,74,2,43,7,8,31,0
3,23,0,2,46,2,43,4,2,22,1
5,28,2,1,67,1,31,4,8,26,0
5,29,1,1,75,1,29,5,7,29,0
3,14,0,1,50,2,19,7,6,27,1
2,38,1,0,72,1,41,5,4,30,0
4,28,0,1,49,0,47,8,6,27,1
6,45,2,2,71,2,20,2,5,37,0
7,31,2,1,80,0,40,7,3,33,0
8,32,4,0,67,0,39,3,5,35,0
3,31,1,1,73,2,25,6,7,36,0
5,22,1,0,48,0,54,9,4,24,1
4,20,1,1,53,1,30,11,4,28,1
3,35,0,2,52,0,20,5,4,23,1
2,25,2,0,61,2,38,6,4,27,1
4,32,2,1,75,1,44,6,6,32,0
4,31,1,0,77,0,42,7,3,27,0
2,29,2,0,53,1,52,9,5,18,1
5,31,2,2,87,1,42,0,3,29,0
4,31,3,0,72,2,26,6,7,30,0
5,25,1,1,64,0,42,7,4,13,1
1,38,0,2,65,2,15,7,5,20,0
3,27,4,5,66,2,37,4,3,35,0
1,28,0,0,56,0,33,9,2,25,1
4,30,0,1,72,2,16,8,8,34,0
3,34,3,0,80,1,29,8,6,27,0
6,40,1,4,68,3,43,5,5,36,0
5,40,3,4,65,1,20,2,7,26,0
8,44,3,2,67,0,43,5,3,34,0
1,25,2,4,62,0,18,5,8,41,0
2,42,1,1,62,1,31,7,7,36,0
7,27,2,2,59,0,36,2,6,27,0
5,35,1,0,65,0,32,5,4,18,0
6,41,0,0,57,2,24,6,7,18,0
7,41,6,0,62,1,25,4,3,28,0
4,22,0,0,48,0,51,8,1,24,1
5,41,1,2,65,2,29,3,6,30,0
5,28,1,1,50,1,27,6,2,29,1
3,34,1,0,61,1,29,7,9,40,0
7,23,3,1,53,1,38,6,4,22,1
3,39,4,4,65,3,29,4,4,21,0
6,37,0,0,67,1,29,5,9,39,0
6,24,0,1,48,1,45,6,2,29,1
8,32,2,2,67,2,43,3,8,25,0
2,26,2,1,32,1,48,7,7,24,1
3,37,3,1,76,2,33,5,7,19,0
6,33,1,2,72,2,32,5,9,29,0
6,35,1,2,77,2,41,5,5,29,0
5,28,2,1,70,0,37,7,5,28,0
3,34,1,0,61,1,15,8,6,29,0
5,35,4,1,69,0,42,3,4,32,0
5,31,4,2,68,2,34,4,3,22,0
6,36,2,0,54,2,21,5,4,29,0
4,25,2,1,54,0,40,9,0,21,1
7,32,0,4,66,0,42,8,7,33,0
2,29,1,2,47,0,48,5,3,25,1
8,27,1,0,69,1,21,4,5,23,0
4,25,1,0,40,1,32,6,4,22,1
4,24,2,2,40,0,34,6,5,23,1
4,32,3,1,74,2,39,9,6,36,0
7,32,0,3,79,2,36,9,8,19,0
1,32,2,1,68,1,44,8,2,32,0
4,35,2,2,67,2,15,6,3,30,0
4,31,3,1,65,1,32,6,6,29,0
4,19,1,2,52,1,41,4,1,26,1
1,35,1,1,70,0,19,5,2,30,0
5,27,1,2,52,1,36,5,4,28,1
2,26,2,0,51,0,35,6,3,22,1
4,18,1,1,52,0,37,7,3,26,1
4,28,0,1,50,0,35,4,1,27,1
7,34,3,0,95,0,38,10,7,26,0
4,22,2,1,48,0,47,6,4,25,1
7,42,2,2,62,1,41,7,2,21,0
2,24,2,1,47,1,32,4,5,31,1
4,32,3,1,74,1,38,3,4,35,0
2,23,1,0,53,1,43,5,5,21,1
3,26,0,1,48,2,45,4,4,30,1
3,22,0,0,51,1,51,2,0,26,1
2,31,0,0,31,0,27,4,0,24,1
2,21,1,0,48,2,52,5,2,25,1
2,31,4,1,63,1,16,7,8,33,0
1,28,3,2,75,1,39,4,7,29,0
1,35,3,1,47,0,24,5,1,26,1
3,40,3,1,81,2,26,6,3,23,0
5,36,1,1,82,2,18,7,8,16,0
2,17,1,0,43,0,28,7,3,26,1
2,20,2,0,58,1,24,5,5,21,1
2,42,0,2,85,0,22,4,5,24,0
2,29,2,0,58,0,49,8,6,19,1
1,27,1,1,47,1,22,7,4,24,1
2,21,0,0,53,1,38,8,6,17,1
3,25,0,0,59,2,27,8,5,19,1
3,34,3,3,65,1,39,8,7,30,0
3,31,3,1,73,3,39,4,3,30,0
2,25,1,0,45,0,38,9,4,24,1
6,31,1,0,66,3,40,6,5,24,0
3,31,1,0,58,2,44,7,3,24,0
5,35,3,0,72,1,32,5,4,31,0
7,48,2,0,62,0,18,6,3,25,0
5,33,0,3,54,2,33,8,8,30,0
5,29,0,0,72,0,23,4,4,26,0
3,38,0,0,82,3,34,8,8,33,0
4,36,2,3,68,1,19,3,3,26,0
3,24,0,3,45,0,42,7,4,25,1
2,23,2,0,51,1,20,9,1,18,1
5,27,0,0,73,0,33,7,8,34,0
2,27,1,0,69,2,24,3,3,29,0
7,38,3,2,63,0,20,7,6,38,0
4,25,0,1,55,2,24,8,3,25,1
6,22,2,0,57,0,50,12,2,24,1
3,34,3,1,70,1,34,7,4,28,0
3,15,1,1,60,0,22,8,1,25,1
2,21,0,2,39,1,19,8,3,22,1
4,19,1,1,43,0,27,5,0,21,1
4,35,3,1,63,0,34,5,5,26,0
4,30,4,2,72,3,35,5,4,30,0
2,22,1,1,52,0,42,5,0,18,1
4,31,1,1,54,1,41,5,2,23,1
4,37,2,1,78,1,41,8,6,42,0
5,35,1,0,73,3,31,5,7,28,0
5,20,2,0,41,1,39,5,3,18,1
1,22,0,2,43,1,50,9,2,28,1
3,28,1,0,42,0,48,2,3,18,1
4,22,1,1,46,0,40,6,2,25,1
1,18,1,1,39,0,53,8,0,24,1
6,23,1,1,55,0,51,5,3,28,1
7,37,0,1,75,3,38,2,3,24,0
1,32,2,1,48,1,29,5,3,28,1
5,28,0,0,50,0,24,5,6,31,1
8,29,2,2,83,2,44,7,6,31,0
4,47,5,1,79,0,35,3,4,34,0
5,41,3,2,66,2,44,6,6,33,0
2,30,1,0,54,0,46,6,2,19,1
4,30,0,1,46,0,25,5,2,26,1
5,25,3,2,50,0,20,6,3,24,1
4,28,3,1,73,1,20,6,5,34,0
3,27,1,1,63,2,29,5,8,35,0
2,39,2,2,58,2,36,4,3,25,0
4,33,1,0,49,0,48,3,5,17,1
2,25,0,0,31,1,27,3,2,16,1
3,24,1,1,42,0,35,5,0,28,1
4,29,3,1,65,2,39,2,7,24,0
2,20,1,0,50,1,34,9,4,23,1
7,41,1,2,72,0,23,4,7,29,0
3,26,2,0,46,1,50,5,2,21,1
2,15,2,2,44,1,25,6,6,32,1
1,32,0,0,51,2,42,6,5,37,1
2,27,2,1,58,0,27,5,2,24,1
3,22,0,0,52,2,43,3,5,27,1
3,34,1,2,62,2,16,4,3,28,0
3,27,1,3,30,1,50,7,3,24,1
2,30,0,1,52,0,52,7,0,24,1
2,32,0,3,81,3,25,6,6,18,0
5,43,3,0,62,2,39,8,3,25,0
2,40,2,0,58,1,29,2,9,24,0
9,35,2,0,62,2,39,6,3,29,0
5,45,4,2,59,2,31,5,8,25,0
4,33,1,1,68,1,40,5,6,32,0
3,36,2,3,64,1,31,8,6,29,0
5,28,1,1,65,2,30,6,5,25,0
4,38,3,0,66,0,41,2,6,31,0
5,23,1,1,38,1,51,4,4,14,1
1,19,0,2,50,0,29,5,3,24,1
8,46,2,1,68,1,15,8,2,26,0
2,29,0,3,66,0,24,2,4,39,0
5,33,2,2,58,0,37,5,8,35,0
9,40,0,3,79,4,31,5,5,27,0
6,26,2,1,53,2,19,5,6,22,0
4,21,0,2,47,0,42,7,7,30,1
5,24,3,1,52,0,23,7,4,26,1
5,22,0,0,55,0,35,10,3,29,1
3,38,5,0,74,0,36,6,6,35,0
8,33,3,0,72,0,37,9,3,26,0
1,27,2,0,56,0,46,6,0,24,1
7,32,1,3,58,1,26,4,4,25,0
1,25,2,1,63,0,42,7,5,22,1
5,23,2,0,50,0,28,6,5,24,1
6,41,2,1,87,2,16,7,2,29,0
3,22,1,1,50,0,40,5,3,30,1
5,36,2,0,59,3,19,5,2,29,0
3,26,1,1,44,2,49,8,0,33,1
5,37,2,3,63,4,32,7,7,28,0
8,33,2,0,71,0,25,8,6,25,0
5,30,3,0,57,1,18,4,7,26,0
3,31,1,0,63,0,22,5,3,32,0
3,41,4,1,70,2,29,8,5,29,0
6,25,0,1,54,0,31,7,0,15,1
2,38,1,2,77,0,26,7,6,28,0
4,27,3,0,73,2,41,4,7,37,0
7,35,0,1,62,2,29,5,5,24,0
3,40,1,2,76,1,28,7,7,42,0
6,31,1,3,75,3,30,1,6,20,0
6,46,3,2,69,3,33,11,4,30,0
5,26,4,1,70,2,26,3,7,23,0
7,37,2,1,66,4,40,7,3,29,0
6,40,3,1,76,3,39,5,7,25,0
6,23,2,0,47,1,46,8,5,23,1
5,23,1,1,41,0,38,10,0,24,1
3,37,3,2,54,1,29,7,9,40,0
1,27,2,1,62,2,50,3,6,16,1
2,22,0,1,47,0,40,7,4,19,1
2,16,0,2,56,2,51,3,0,26,1
2,28,1,0,55,0,25,6,5,41,1
3,33,4,0,61,1,39,6,7,19,0
4,35,4,3,81,1,19,9,5,20,0
7,26,3,3,83,1,33,4,6,24,0
4,34,1,1,76,0,26,7,7,33,0
3,19,0,1,43,0,32,5,3,22,1
6,24,1,2,44,1,46,2,7,22,1
4,34,2,4,74,1,18,4,4,31,0
2,38,3,1,80,0,29,3,3,26,0
4,32,0,0,72,0,36,7,6,28,0
1,39,3,3,63,2,23,8,5,25,0
5,39,2,1,76,2,30,6,3,34,0
2,29,2,0,52,2,54,6,1,16,1
3,30,0,0,33,0,33,5,0,29,1
2,25,1,2,48,2,39,7,1,22,1
6,35,1,0,67,1,32,6,4,34,0
3,21,2,2,56,1,33,8,5,31,1
5,30,1,2,62,0,18,8,6,29,0
5,21,2,0,52,0,26,6,1,26,1
1,30,2,2,57,0,33,6,4,23,1
3,21,0,0,63,1,51,8,5,28,1
3,28,3,0,67,3,31,4,5,35,0
2,12,1,0,51,3,20,6,3,28,1
6,31,1,0,72,1,39,8,3,36,0
2,24,2,0,54,0,38,5,1,24,1
6,45,4,2,66,2,30,7,6,21,0
1,26,2,0,49,1,25,8,4,32,1
4,22,2,1,44,0,51,5,6,14,1
1,30,1,1,69,0,51,9,3,19,1
3,41,2,1,76,2,42,6,3,28,0
4,34,2,2,47,1,49,5,0,19,1
1,43,1,2,57,2,29,7,7,36,0
6,34,2,2,79,0,18,4,9,40,0
7,23,1,0,55,0,37,10,5,32,1
9,35,1,2,59,1,34,3,4,31,0
1,26,1,2,53,0,54,5,4,20,1
5,37,3,1,68,1,35,5,4,30,0
2,33,1,1,47,1,27,4,5,34,1
5,23,0,0,53,0,32,8,4,25,1
4,34,0,2,63,1,30,6,6,32,0
4,20,0,1,50,0,25,9,6,28,1
